"","date","frequency","y","m","d","date2","dow"
"382","08072013",88,2013,7,8,2013-07-08,"Monday"
"383","08082010",6,2010,8,8,2010-08-08,"Sunday"
"384","08082011",32,2011,8,8,2011-08-08,"Monday"
"385","08082012",72,2012,8,8,2012-08-08,"Wednesday"
"386","08082013",75,2013,8,8,2013-08-08,"Thursday"
"387","08092010",6,2010,9,8,2010-09-08,"Wednesday"
"388","08092011",35,2011,9,8,2011-09-08,"Thursday"
"389","08092012",69,2012,9,8,2012-09-08,"Saturday"
"390","08092013",75,2013,9,8,2013-09-08,"Sunday"
"391","08102010",10,2010,10,8,2010-10-08,"Friday"
"392","08102011",49,2011,10,8,2011-10-08,"Saturday"
"393","08102012",52,2012,10,8,2012-10-08,"Monday"
"394","08102013",66,2013,10,8,2013-10-08,"Tuesday"
"395","08112010",6,2010,11,8,2010-11-08,"Monday"
"396","08112011",25,2011,11,8,2011-11-08,"Tuesday"
"397","08112012",57,2012,11,8,2012-11-08,"Thursday"
"398","08112013",50,2013,11,8,2013-11-08,"Friday"
"399","08122010",20,2010,12,8,2010-12-08,"Wednesday"
"400","08122011",48,2011,12,8,2011-12-08,"Thursday"
"401","08122012",55,2012,12,8,2012-12-08,"Saturday"
"402","08122013",30,2013,12,8,2013-12-08,"Sunday"
"403","09012011",18,2011,1,9,2011-01-09,"Sunday"
"404","09012012",39,2012,1,9,2012-01-09,"Monday"
"405","09012013",59,2013,1,9,2013-01-09,"Wednesday"
"406","09012014",38,2014,1,9,2014-01-09,"Thursday"
"407","09022011",23,2011,2,9,2011-02-09,"Wednesday"
"408","09022012",34,2012,2,9,2012-02-09,"Thursday"
"409","09022013",85,2013,2,9,2013-02-09,"Saturday"
"410","09022014",28,2014,2,9,2014-02-09,"Sunday"
"411","09032010",1,2010,3,9,2010-03-09,"Tuesday"
"412","09032011",38,2011,3,9,2011-03-09,"Wednesday"
"413","09032012",48,2012,3,9,2012-03-09,"Friday"
"414","09032013",107,2013,3,9,2013-03-09,"Saturday"
"415","09032014",42,2014,3,9,2014-03-09,"Sunday"
"416","09042011",27,2011,4,9,2011-04-09,"Saturday"
"417","09042012",37,2012,4,9,2012-04-09,"Monday"
"418","09042013",59,2013,4,9,2013-04-09,"Tuesday"
"419","09042014",45,2014,4,9,2014-04-09,"Wednesday"
"420","09052010",1,2010,5,9,2010-05-09,"Sunday"
"421","09052011",41,2011,5,9,2011-05-09,"Monday"
"422","09052012",43,2012,5,9,2012-05-09,"Wednesday"
"423","09052013",80,2013,5,9,2013-05-09,"Thursday"
"424","09052014",1,2014,5,9,2014-05-09,"Friday"
"425","09062010",11,2010,6,9,2010-06-09,"Wednesday"
"426","09062011",35,2011,6,9,2011-06-09,"Thursday"
"427","09062012",60,2012,6,9,2012-06-09,"Saturday"
"428","09062013",61,2013,6,9,2013-06-09,"Sunday"
"429","09072010",14,2010,7,9,2010-07-09,"Friday"
"430","09072011",42,2011,7,9,2011-07-09,"Saturday"
"431","09072012",70,2012,7,9,2012-07-09,"Monday"
